ID,Curso,Status,Link,Conteudista,Horas
323,Direito e Novas Tecnologias,Normal,https://www.escolavirtual.gov.br/curso/323,ITS Rio,5h
330,Lei de Liberdade Econômica e o Licenciamento 4.0,Normal,https://www.escolavirtual.gov.br/curso/330,Ministério da Fazenda,10h
322,"MROSC: Execução, Monitoramento e Avaliação",Normal,https://www.escolavirtual.gov.br/curso/322,Ministério da Fazenda,20h
329,MROSC: Prestação de Contas,Normal,https://www.escolavirtual.gov.br/curso/329,Ministério da Fazenda,20h
326,Princípios do Design Thinking e Inovação em Governo,Normal,https://www.escolavirtual.gov.br/curso/326,Enap - Escola Nacional de Administração Pública,10h
306,Proteção a Direitos Humanos: Prevenção e Proibição da Tortura,Normal,https://www.escolavirtual.gov.br/curso/306,Ministério dos Direitos Humanos e Cidadania,30h
316,MROSC: Seleção e Celebração,Normal,https://www.escolavirtual.gov.br/curso/316,Ministério da Fazenda,20h
332,Linguagem simples aproxima o governo das pessoas. Como usar?,Normal,https://www.escolavirtual.gov.br/curso/332,Laboratório de Inovação em Governo da Secretaria Municipal de Inovação e Tecnologia de São Paulo,20h
317,Ágil no Contexto do Serviço Público,Normal,https://www.escolavirtual.gov.br/curso/317,Ministério da Fazenda,15h
314,Elaboração de Relatórios de Auditoria,Normal,https://www.escolavirtual.gov.br/curso/314,Controladoria Geral da União,24h
319,Estruturas Organizacionais do Poder Executivo Federal - Siorg,Normal,https://www.escolavirtual.gov.br/curso/319,Ministério da Fazenda,15h
315,Primeiros passos para uso de Linguagem Simples,Normal,https://www.escolavirtual.gov.br/curso/315,Enap - Escola Nacional de Administração Pública,8h
312,Técnicas de Auditoria Interna Governamental,Normal,https://www.escolavirtual.gov.br/curso/312,Controladoria Geral da União,24h
313,Temos que dar aulas remotas... E agora?,Normal,https://www.escolavirtual.gov.br/curso/313,Enap - Escola Nacional de Administração Pública,10h
243,"Geoinformação na SPU – conceitos, fundamentos e tecnologias",Normal,https://www.escolavirtual.gov.br/curso/243,Secretaria do Patrimônio da União - SPU,80h
308,Princípios de Economia: Macroeconomia,Normal,https://www.escolavirtual.gov.br/curso/308,Marginal Revolution University,40h
311,Princípios de Economia: Microeconomia,Normal,https://www.escolavirtual.gov.br/curso/311,Marginal Revolution University,50h
297,MigraCidades: Aprimorando a Governança Migratória Local,Normal,https://www.escolavirtual.gov.br/curso/297,Organização Internacional para as Migrações - OIM,30h
275,Acessibilidade em espaços de uso público no Brasil,Normal,https://www.escolavirtual.gov.br/curso/275,Ministério dos Direitos Humanos e Cidadania,20h
302,Auditoria e Controle Para Estatais,Normal,https://www.escolavirtual.gov.br/curso/302,Enap - Escola Nacional de Administração Pública,20h
232,Ética Profissional do Serviço Público na Receita Federal do Brasil,Normal,https://www.escolavirtual.gov.br/curso/232,Secretaria Especial da Receita Federal do Brasil,20h
304,Sistema Eletrônico de Informações - SEI! ADMINISTRAR,Normal,https://www.escolavirtual.gov.br/curso/304,Ministério da Fazenda,40h
